date,profile_id,longitude,latitude,upper_depth,lower_depth,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,nitkjd,orgc,phaq,phca,phetb1,phprtn,sand,silt,totc,wg0033,wg0200,wg1500
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,36.6,39.4,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,36.6,39.4,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,36.6,39.4,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,36.6,39.4,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,29.7,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,61.0,45.9,39.4,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,29.7,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,36.6,39.4,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,29.7,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.1,7.6,0.0,89.0,45.9,39.4,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,113.0,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,113.0,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,113.0,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,29.7,113.0,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,39.4,95.6,66.4,24.5,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,39.4,95.6,66.4,24.5,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,39.4,95.6,66.4,14.3,17.6
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,39.4,95.6,66.4,14.3,7.4
1991-11-3,1669222,-90.8080520999999,18.6066666,26,73,0.94,0.77,1.14,24.3,41.0,23.0,33.7,2.09,14.4,8.3,7.6,0.0,61.0,36.6,39.4,113.0,66.4,24.5,17.6
